Data,Titolo Notizia,Link,Fonte RSS,Categoria,Regione/Area,Rilevanza,Spunto Social,Stato,Note Editoriali
08/05/2026 21:20,TEST,https://example.com,manuale,Test,Test,10,Test scrittura,Nuova,
13/04/2026 10:10,"Librandi, il vino come racconto: settant'anni tra ricerca, territorio e visione",https://www.gamberorosso.it/notizie/vino/librandi-vino-calabria/,Gambero Rosso,Vino,Calabria,10,"Spunto: partire dal tema ""Vino"" e raccontare perche questa notizia conta per Calabria.",Nuova,
13/04/2026 11:06,"""Il ruolo del consorzio è avvicinare il vino alle nuove generazioni"". L'esordio di Alessio Planeta alla guida della Doc Sicilia",https://www.gamberorosso.it/notizie/vino/alessio-planeta-presidente-doc-sicilia-distillazione-crisi/,Gambero Rosso,Vino,Sicilia,9,"Spunto: partire dal tema ""Vino"" e raccontare perche questa notizia conta per Sicilia.",Nuova,
12/04/2026 12:37,"Arianna Occhipinti: ""La Sicilia del vino non è solo l'Etna. Vittoria e Marsala sono le grandi scommesse""",https://www.gamberorosso.it/notizie/attualita/arianna-occhipinti-sicilia-vino-vittoria-marsala-no-alcol-piwi-vinitaly/,Gambero Rosso,Vino,Sicilia,9,"Spunto: partire dal tema ""Vino"" e raccontare perche questa notizia conta per Sicilia.",Nuova,
07/04/2026 12:00,Il giornalista Tv che produce vino naturale in un garage nel Matese,https://www.gamberorosso.it/notizie/rubriche/storie/vino-naturale-francesco-fossa-matese-appennino/,Gambero Rosso,Vino,Sud Italia / Mediterraneo,9,"Spunto: partire dal tema ""Vino"" e raccontare perche questa notizia conta per Sud Italia / Mediterraneo.",Nuova,
26/03/2026 15:18,"""Vinitaly 2026 sarà un hub internazionale per il business del vino"". Veronafiere spinge su nuovi trend e mercati",https://www.gamberorosso.it/notizie/vino/vinitaly-2026-novita-incoming-buyer-internazionali/,Gambero Rosso,Business/Export,Sud Italia / Mediterraneo,9,"Spunto: partire dal tema ""Business/Export"" e raccontare perche questa notizia conta per Sud Italia / Mediterraneo.",Nuova,
09/05/2026 08:20,La pizzeria Don Antonio 1970 di Salerno apre a Pula in Sardegna,https://www.scattidigusto.it/la-pizzeria-don-antonio-1970-di-salerno-apre-a-pula-in-sardegna,Scatti di Gusto,Gastro Sud,Campania,8,"Spunto: partire dal tema ""Gastro Sud"" e raccontare perche questa notizia conta per Campania.",Nuova,
20/04/2026 10:46,"Sessant'anni fa era una macelleria, oggi è uno dei migliori ristoranti di carne (e orto) della Puglia",https://www.gamberorosso.it/notizie/rubriche/storie/ristorante-fornelli-puglia-la-cuccagna-crispiano/,Gambero Rosso,Food,Puglia,8,"Spunto: partire dal tema ""Food"" e raccontare perche questa notizia conta per Puglia.",Nuova,
14/04/2026 12:51,"""Un tavolo e una piattaforma per l'enoturismo"": così il governo vuole cambiare il turismo del vino",https://www.gamberorosso.it/notizie/attualita/enoturismo-italia-tavolo-piattaforma-ministro-mazzi/,Gambero Rosso,Vino,Sud Italia / Mediterraneo,8,"Spunto: partire dal tema ""Vino""...",Nuova,
13/04/2026 11:57,"La ""cartografia parlante"" del vino italiano. A Vinitaly presentata la nuova app che racconta i territori",https://www.gamberorosso.it/notizie/vino/cartografia-parlante-vino-italiano-app-agea/,Gambero Rosso,Vino,Sud Italia / Mediterraneo,8,Spunto.,Nuova,
21/03/2026 10:07,"Dall'olio al vino: la famiglia che in Irpinia realizza uno dei migliori Fiano di Avellino",https://www.gamberorosso.it/notizie/vino/degustazioni/fiano-di-avellino-villa-raiano-sotto-20-euro/,Gambero Rosso,Vino,Campania,8,Spunto.,Nuova,
07/05/2026 16:12,"Napoli, da ""Salvo"" tappa di Take Over PizzAis: percorso tra vino, sapori e territori",https://www.lucianopignataro.it/a/napoli-da-salvo-tappa-di-take-over-pizzais-percorso-tra-vino-sapori-e-territori/294159/,Luciano Pignataro Wine Blog,Vino,Campania,7,Spunto.,Nuova,
30/04/2026 11:33,"Rivoluzione Soave: Doc in pianura, Docg solo in collina. Così il Consorzio rivede la piramide della qualità",https://www.gamberorosso.it/notizie/vino/rivoluzione-soave-modifiche-disciplinare-differenze-pianura-collina/,Gambero Rosso,Vino,Sud Italia / Mediterraneo,7,Spunto.,Nuova,
24/04/2026 13:00,"""Se oggi si fa olio da Itrana è anche grazie a me"": storia di una rivoluzione silenziosa",https://www.gamberorosso.it/attualita/se-oggi-si-fa-olio-da-itrana-e-anche-grazie-a-me-storia-di-una-rivoluzione-silenziosa/,Gambero Rosso,Olio,Sud Italia / Mediterraneo,7,Spunto.,Nuova,
23/04/2026 08:05,Il Moscato di Canelli punta sui cru. Ecco la nuova mappa vitivinicola con 186 unità geografiche,https://www.gamberorosso.it/notizie/vino/moscato-canelli-cru-nuova-mappa-vitivinicola-unita-geografiche/,Gambero Rosso,Vino,Sud Italia / Mediterraneo,7,Spunto.,Nuova,
17/04/2026 15:11,"Quant'è bello visitare le cantine, ma come ci si arriva? L'enoturismo fa i conti con il gap dei trasporti",https://www.gamberorosso.it/notizie/vino/enoturismo-gap-trasporti-indagine-2026-movimento-turismo-vino-ceseo/,Gambero Rosso,Vino,Sud Italia / Mediterraneo,7,Spunto.,Nuova,
08/04/2026 11:51,Roberto Monti fa il bis: il Consorzio vini di Romagna lo riconferma alla presidenza,https://www.gamberorosso.it/notizie/vino/roberto-monti-presidente-consorzio-vini-romagna/,Gambero Rosso,Vino,Sud Italia / Mediterraneo,7,Spunto.,Nuova,
02/04/2026 08:02,"Blocco impianti, meno rese e più promozione. Dalla masseria di Vespa il vino ridisegna il suo futuro",https://www.gamberorosso.it/notizie/vino/forum-cucina-italiana-manduria-proposte-futuro-vino/,Gambero Rosso,Vino,Sud Italia / Mediterraneo,7,Spunto.,Nuova,
30/03/2026 20:04,"Dall'Abruzzo al Rodano: Chiara Pepe firmerà le prossime annate del leggendario Domaine de La Chapelle",https://www.gamberorosso.it/notizie/vino/chiara-pepe-domaine-de-la-chapelle/,Gambero Rosso,Vino,Abruzzo,7,Spunto.,Nuova,
30/03/2026 16:46,"Un cammino tra miniere, vino e tonno nel sud-ovest della Sardegna: cosa vedere (e mangiare) nel Sulcis",https://www.gamberorosso.it/notizie/rubriche/miniguide/cammino-miniere-vino-tonno-sardegna-cosa-vedere-mangiare-sulcis/,Gambero Rosso,Gastro Sud,Sardegna,7,Spunto.,Nuova,
27/03/2026 13:01,"""Fotografano la carta dei vini e chiedono all'IA"": cosa sta cambiando nei ristoranti",https://www.gamberorosso.it/notizie/attualita/fotografano-carta-vini-intelligenza-artificiale-sommelier/,Gambero Rosso,Vino,Sud Italia / Mediterraneo,7,Spunto.,Nuova,
26/03/2026 15:32,Distillazione di crisi per la Sicilia del vino. La Regione dice sì alle richieste delle associazioni,https://www.gamberorosso.it/notizie/attualita/distillazione-crisi-vino-sicilia/,Gambero Rosso,Vino,Sicilia,7,Spunto.,Nuova,
20/03/2026 11:27,"""Dopo 35 anni in botte è ancora vitale"": la Vernaccia di Oristano che sfida il tempo",https://www.gamberorosso.it/notizie/vino/degustazioni/vernaccia-di-oristano-antico-gregori-attilio-contini/,Gambero Rosso,Vino,Sardegna,7,Spunto.,Nuova,
09/05/2026 07:33,"Andreola, l'eroica cantina di montagna del Valdobbiadene DOCG",https://www.lucianopignataro.it/a/andreola-leroica-cantina-di-montagna-del-valdobbiadene-docg/294180/,Luciano Pignataro Wine Blog,Vino,Sud Italia / Mediterraneo,6,Spunto.,Nuova,
08/05/2026 09:08,"Cucina & Vini, quarta edizione di Berebianco. Sabato 23 maggio al Grand Hotel Palatino",https://www.lucianopignataro.it/a/cucina-vini-quarta-edizione-di-berebianco-sabato-23-maggio-al-grand-hotel-palatino/294226/,Luciano Pignataro Wine Blog,Vino,Sud Italia / Mediterraneo,6,Spunto.,Nuova,
